Postcode;Plaatsnaam;Deelgemeente;Provincie
2970;'S Gravenwezel;Ja;Antwerpen
3700;'S Herenelderen;Ja;Limburg
7510;3 Suisses;;
9420;Aaigem;Ja;Oost-Vlaanderen 
8511;Aalbeke;Ja;West-Vlaanderen
3800;Aalst;Ja;Limburg
9300;AALST;Neen;Oost-Vlaanderen 
9880;AALTER;Neen;Oost-Vlaanderen 
3200;AARSCHOT;Neen;Vlaams-Brabant
8700;Aarsele;Ja;West-Vlaanderen
8211;Aartrijke;Ja;West-Vlaanderen
2630;AARTSELAAR;Neen;Antwerpen
4557;Abée;Ja;Luik
4280;Abolens;Ja;Luik
3930;Achel;Ja;Limburg
5590;Achêne;Ja;Namen
5362;Achet;Ja;Namen
4219;Acosse;Ja;Luik
6280;Acoz;Ja;Henegouwen
9991;Adegem;Ja;Oost-Vlaanderen 
8660;Adinkerke;Ja;West-Vlaanderen
1790;AFFLIGEM;Neen;Vlaams-Brabant
9051;Afsnee;Ja;Oost-Vlaanderen 
5544;Agimont;Ja;Namen
4317;Aineffe;Ja;Luik
5310;Aische-En-Refail;Ja;Namen
6250;Aiseau;Ja;Henegouwen
6250;AISEAU-PRESLES;Neen;Henegouwen
5070;Aisemont;Ja;Namen
3570;ALKEN;Neen;Limburg
5550;Alle;Ja;Namen
4432;Alleur;Ja;Luik
1652;Alsemberg;Ja;Vlaams-Brabant
8690;ALVERINGEM;Neen;West-Vlaanderen
4540;AMAY;Neen;Luik
6680;Amberloup;Ja;Luxemburg
6953;Ambly;Ja;Luxemburg
4219;Ambresin;Ja;Luik
4770;AMEL;Neen;Luik
6997;Amonines;Ja;Luxemburg
7750;Amougies;Ja;Henegouwen
4540;Ampsin;Ja;Luik
5300;ANDENNE;Neen;Namen
1070;ANDERLECHT;Neen;Brussel (19 gemeenten)
6150;ANDERLUES;Neen;Henegouwen
4821;Andrimont;Ja;Luik
4031;Angleur;Ja;Luik
7387;Angre;Ja;Henegouwen
7387;Angreau;Ja;Henegouwen
5537;ANHÉE;Neen;Namen
6721;Anlier;Ja;Luxemburg
6890;Anloy;Ja;Luxemburg
5537;Annevoie-Rouillon;Ja;Namen
4430;ANS;Neen;Luik
5500;Anseremme;Ja;Namen
7750;Anseroeul;Ja;Henegouwen
5520;Anthée;Ja;Namen
4520;Antheit;Ja;Luik
4160;ANTHISNES;Neen;Luik
7640;ANTOING;Neen;Henegouwen
2000;ANTWERPEN;Neen;Antwerpen
2018;ANTWERPEN;Neen;Antwerpen
2020;ANTWERPEN;Neen;Antwerpen
2030;ANTWERPEN;Neen;Antwerpen
2040;ANTWERPEN;Neen;Antwerpen
2050;ANTWERPEN;Neen;Antwerpen
2060;ANTWERPEN;Neen;Antwerpen
2099;Antwerpen X;;
7910;Anvaing;Ja;Henegouwen
8570;ANZEGEM;Neen;West-Vlaanderen
9200;Appels;Ja;Oost-Vlaanderen 
9400;Appelterre-Eichem;Ja;Oost-Vlaanderen 
5170;Arbre;Ja;Namen
7811;Arbre;Ja;Henegouwen
4990;Arbrefontaine;Ja;Luik
7910;Arc-Ainières;Ja;Henegouwen
7910;Arc-Wattripont;Ja;Henegouwen
1390;Archennes;Ja;Waals-Brabant
8850;ARDOOIE;Neen;West-Vlaanderen
2370;ARENDONK;Neen;Antwerpen
4601;Argenteau;Ja;Luik
6700;ARLON;Neen;Luxemburg
7181;Arquennes;Ja;Henegouwen
5060;Arsimont;Ja;Namen
6870;Arville;Ja;Luxemburg
3665;AS;Neen;Limburg
9404;Aspelare;Ja;Oost-Vlaanderen 
9890;Asper;Ja;Oost-Vlaanderen 
7040;Asquillies;Ja;Henegouwen
1730;ASSE;Neen;Vlaams-Brabant
8310;Assebroek;Ja;West-Vlaanderen
1007;Assemblée de la Commission Communautaire Française;;
9960;ASSENEDE;Neen;Oost-Vlaanderen 
6860;Assenois;Ja;Luxemburg
3460;Assent;Ja;Vlaams-Brabant
5330;ASSESSE;Neen;Namen
9800;Astene;Ja;Oost-Vlaanderen 
7800;ATH;Neen;Henegouwen
7387;Athis;Ja;Henegouwen
6791;Athus;Ja;Luxemburg
3404;Attenhoven;Ja;Vlaams-Brabant
3384;Attenrode;Ja;Vlaams-Brabant
6717;ATTERT;Neen;Luxemburg
7941;Attre;Ja;Henegouwen
6790;AUBANGE;Neen;Luxemburg
7972;Aubechies;Ja;Henegouwen
4880;AUBEL;Neen;Luik
5660;Aublain;Ja;Namen
6880;Auby-Sur-Semois;Ja;Luxemburg
7382;Audregnies;Ja;Henegouwen
7040;Aulnois;Ja;Henegouwen
6706;Autelbas;Ja;Luxemburg
1367;Autre-Eglise;Ja;Waals-Brabant
7387;Autreppe;Ja;Henegouwen
5060;Auvelais;Ja;Namen
5580;Ave-Et-Auffe;Ja;Namen
8630;Avekapelle;Ja;West-Vlaanderen
8580;AVELGEM;Neen;West-Vlaanderen
4260;Avennes;Ja;Luik
3271;Averbode;Ja;Vlaams-Brabant
4280;Avernas-Le-Bauduin;Ja;Luik
4280;Avin;Ja;Luik
4340;AWANS;Neen;Luik
6870;Awenne;Ja;Luxemburg
4400;Awirs;Ja;Luik
6900;Aye;Ja;Luxemburg
4630;Ayeneux;Ja;Luik
4920;AYWAILLE;Neen;Luik
9890;Baaigem;Ja;Oost-Vlaanderen 
3128;Baal;Ja;Vlaams-Brabant
9310;Baardegem;Ja;Oost-Vlaanderen 
2387;BAARLE-HERTOG;Neen;Antwerpen
9200;Baasrode;Ja;Oost-Vlaanderen 
9800;Bachte-Maria-Leerne;Ja;Oost-Vlaanderen 
4837;BAELEN;Neen;Luik
5550;Bagimont;Ja;Namen
6464;Baileux;Ja;Henegouwen
6460;Bailièvre;Ja;Henegouwen
5555;Baillamont;Ja;Namen
7730;Bailleul;Ja;Henegouwen
5377;Baillonville;Ja;Namen
7380;Baisieux;Ja;Henegouwen
1470;Baisy-Thy;Ja;Waals-Brabant
5190;Balâtre;Ja;Namen
9860;Balegem;Ja;Oost-Vlaanderen 
2490;BALEN;Neen;Antwerpen
9420;Bambrugge;Ja;Oost-Vlaanderen 
6951;Bande;Ja;Luxemburg
6500;Barbençon;Ja;Henegouwen
4671;Barchon;Ja;Luik
5570;Baronville;Ja;Namen
7534;Barry;Ja;Henegouwen
5370;Barvaux-Condroz;Ja;Namen
6940;Barvaux-Sur-Ourthe;Ja;Luxemburg
4520;Bas-Oha;Ja;Luik
7971;Basècles;Ja;Henegouwen
4983;Basse-Bodeux;Ja;Luik
4690;BASSENGE;Neen;Luik
